# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 10.5313 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.966672798471e-02       1.713877846337e+04 
       3.985939466719e-02       1.706127396618e+04 
       4.005393355622e-02       1.698379762155e+04 
       4.025041775948e-02       1.690634725145e+04 
       4.044892430056e-02       1.682875889264e+04 
       4.064953439713e-02       1.675135634113e+04 
       4.085233376402e-02       1.667382744026e+04 
       4.105741294391e-02       1.659630762259e+04 
       4.126486766853e-02       1.651885145458e+04 
       4.147479925399e-02       1.644117203259e+04 
       4.168731503384e-02       1.636357842528e+04 
       4.190252883456e-02       1.628584533085e+04 
       4.212056149822e-02       1.620825492307e+04 
       4.234154145810e-02       1.613043741393e+04 
       4.256560537372e-02       1.605258040895e+04 
       4.279289883272e-02       1.597472811060e+04 
       4.302357712799e-02       1.589677578111e+04 
       4.325780612001e-02       1.581861353576e+04 
       4.349576319537e-02       1.574029983968e+04 
       4.373763833475e-02       1.566199911914e+04 
       4.398363530529e-02       1.558356646751e+04 
       4.423397299474e-02       1.550477961015e+04 
       4.448888690809e-02       1.542599040459e+04 
       4.474863085010e-02       1.534697812420e+04 
       4.501347882205e-02       1.526776646276e+04 
       4.528372716531e-02       1.518826807603e+04 
       4.555969699056e-02       1.510851487363e+04 
       4.584173693858e-02       1.502845652950e+04 
       4.613022632719e-02       1.494813686999e+04 
       4.642557874927e-02       1.486749188569e+04 
       4.672824619981e-02       1.478636565845e+04 
       4.703872382555e-02       1.470491706481e+04 
       4.735755541006e-02       1.462309670751e+04 
       4.768533973115e-02       1.454067499449e+04 
       4.802273795687e-02       1.445772843167e+04 
       4.837048228349e-02       1.437434042685e+04 
       4.872938606491e-02       1.429019964505e+04 
       4.910035574096e-02       1.420545835395e+04 
       4.948440494512e-02       1.411991686470e+04 
       4.988267126470e-02       1.403362241923e+04 
       5.029643624407e-02       1.394627069315e+04 
       5.072714937070e-02       1.385800968857e+04 
       5.117645697452e-02       1.376845955400e+04 
       5.164623721364e-02       1.367788543695e+04 
       5.213864262846e-02       1.358576687867e+04 
       5.265615213691e-02       1.349212639971e+04 
       5.320163483350e-02       1.339661886694e+04 
       5.377842855701e-02       1.329909778918e+04 
       5.439043690939e-02       1.319927893221e+04 
       5.504224921251e-02       1.309669684382e+04 
       5.573928868303e-02       1.299086813228e+04 
       5.648799464529e-02       1.288129591064e+04 
       5.729604434857e-02       1.276721025261e+04 
       5.817261779851e-02       1.264758329872e+04 
       5.912870278096e-02       1.252119955760e+04 
       6.017742293315e-02       1.238635650771e+04 
       6.133434242322e-02       1.224075585969e+04 
       6.261764624258e-02       1.208123321650e+04 
       6.404800413205e-02       1.190399884501e+04 
       6.564779928929e-02       1.170373120628e+04 
       6.743928726363e-02       1.147350410989e+04 
       6.944129971745e-02       1.120536535340e+04 
       7.166460441877e-02       1.089178004059e+04 
       7.410715943521e-02       1.052654411269e+04 
       7.675171037112e-02       1.010819861417e+04 
       7.956793880909e-02       9.642272013083e+03 
       8.251881714185e-02       9.141173847010e+03 
       8.556799047967e-02       8.623107756531e+03 
       8.868487326008e-02       8.108798331866e+03 
       9.184642796119e-02       7.617641725644e+03 
       9.503658473965e-02       7.165324926583e+03 
       9.824469504266e-02       6.762697390245e+03 
       1.014639335110e-01       6.415378508138e+03 
       1.046900163954e-01       6.123484846507e+03 
       1.079202900451e-01       5.883710713664e+03 
       1.111531237204e-01       5.688527234518e+03 
       1.143875201097e-01       5.529039333857e+03 
       1.176228710018e-01       5.394393179348e+03 
       1.208588060415e-01       5.273879045230e+03 
       1.240950998529e-01       5.157921982581e+03 
       1.273316152786e-01       5.037393431797e+03 
       1.305682687913e-01       4.906845745868e+03 
       1.338050094535e-01       4.762452842330e+03 
       1.370418061303e-01       4.603576760052e+03 
       1.402786397234e-01       4.432172248983e+03 
       1.435154984555e-01       4.251983841312e+03 
       1.467523750067e-01       4.068071413914e+03 
       1.499892647759e-01       3.886007001785e+03 
       1.532261648240e-01       3.711050243629e+03 
       1.564630732321e-01       3.547767804575e+03 
       1.596999887107e-01       3.399544189895e+03 
       1.629369103619e-01       3.268217506534e+03 
       1.661738375340e-01       3.154502817584e+03 
       1.694107697325e-01       3.057636432864e+03 
       1.726477065655e-01       2.975875729236e+03 
       1.758846477101e-01       2.906567050614e+03 
       1.791215928909e-01       2.846493307648e+03 
       1.823585418672e-01       2.792412721471e+03 
       1.855954944241e-01       2.741459177977e+03 
       1.888324503670e-01       2.690664931351e+03 
       1.920694095179e-01       2.637228668402e+03 
       1.953063717127e-01       2.579716137115e+03 
       1.985433367994e-01       2.517236131731e+03 
       2.017803046364e-01       2.450014428453e+03 
       2.050172750917e-01       2.378898966597e+03 
       2.082542480419e-01       2.305400319230e+03 
       2.114912233712e-01       2.231252199726e+03 
       2.147282009711e-01       2.158256519672e+03 
       2.179651807396e-01       2.087933351734e+03 
       2.212021625807e-01       2.021616929983e+03 
       2.244391464040e-01       1.960270098496e+03 
       2.276761321245e-01       1.904331666130e+03 
       2.309131196617e-01       1.854096494427e+03 
       2.341501089398e-01       1.809424595433e+03 
       2.373870998870e-01       1.769645153684e+03 
       2.406240924356e-01       1.734277047763e+03 
       2.438610865214e-01       1.701967442186e+03 
       2.470980820836e-01       1.671959208346e+03 
       2.503350790644e-01       1.643087250696e+03 
       2.535720774094e-01       1.614436820364e+03 
       2.568090770664e-01       1.585285556088e+03 
       2.600460779864e-01       1.555169540381e+03 
       2.632830801222e-01       1.523832022952e+03 
       2.665200834296e-01       1.491294976264e+03 
       2.697570878658e-01       1.457749258744e+03 
       2.729940933907e-01       1.423512161046e+03 
       2.762310999657e-01       1.389068695218e+03 
       2.794681075541e-01       1.354942170753e+03 
       2.827051161208e-01       1.321667569423e+03 
       2.859421256326e-01       1.289758259906e+03 
       2.891791360574e-01       1.259589927043e+03 
       2.924161473648e-01       1.231404403705e+03 
       2.956531595256e-01       1.205248801865e+03 
       2.988901725119e-01       1.181090003072e+03 
       3.021271862972e-01       1.158721453185e+03 
       3.053642008557e-01       1.137890349710e+03 
       3.086012161632e-01       1.118304890410e+03 
       3.118382321961e-01       1.099678268493e+03 
       3.150752489319e-01       1.081680401503e+03 
       3.183122663492e-01       1.064030029763e+03 
       3.215492844271e-01       1.046486832395e+03 
       3.247863031460e-01       1.028825663240e+03 
       3.280233224866e-01       1.010971127984e+03 
       3.312603424307e-01       9.928772688380e+02 
