# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   85       2.330679200645e+03       5.824175811253e-01       0.000000000000e+00      -1.470328697154e+01       1.183081849985e-07       5.353469710289e-04      -2.078862393239e-06 
   86       2.360999257991e+03       5.988671339257e-01       0.000000000000e+00      -1.534584646772e+01       1.176141076456e-07       5.287719806568e-04      -2.070768683278e-06 
   87       2.391582358543e+03       6.153776674559e-01       0.000000000000e+00      -1.599592417884e+01       1.169252534010e-07       5.223560322980e-04      -2.065554381084e-06 
   88       2.422427099643e+03       6.319343684975e-01       0.000000000000e+00      -1.665309639338e+01       1.162446031847e-07       5.161011475663e-04      -2.062883850495e-06 
   89       2.453530137636e+03       6.485219400412e-01       0.000000000000e+00      -1.731692769004e+01       1.155732197128e-07       5.100021512188e-04      -2.062331356714e-06 
   90       2.484886099624e+03       6.651245976501e-01       0.000000000000e+00      -1.798697106221e+01       1.149099642761e-07       5.040460477656e-04      -2.063374911762e-06 
   91       2.516487495237e+03       6.817260658239e-01       0.000000000000e+00      -1.866276804259e+01       1.142511972868e-07       4.982113811284e-04      -2.065389968578e-06 
   92       2.548324628383e+03       6.983095743623e-01       0.000000000000e+00      -1.934384882771e+01       1.135904622296e-07       4.924675773469e-04      -2.067642963792e-06 
   93       2.580388266790e+03       7.148584289489e-01       0.000000000000e+00      -2.002973434220e+01       1.129211485443e-07       4.867854321768e-04      -2.069452034245e-06 
   94       2.612678301553e+03       7.313578289643e-01       0.000000000000e+00      -2.071994251620e+01       1.122461708978e-07       4.811728013298e-04      -2.070725644382e-06 
   95       2.645196232896e+03       7.477933176213e-01       0.000000000000e+00      -2.141398318673e+01       1.115705502948e-07       4.756456836901e-04      -2.071532804633e-06 
   96       2.677942478729e+03       7.641502362947e-01       0.000000000000e+00      -2.211135639131e+01       1.108985377778e-07       4.702175049359e-04      -2.071946231423e-06 
   97       2.710916324273e+03       7.804137287671e-01       0.000000000000e+00      -2.281155251914e+01       1.102334782119e-07       4.648988548087e-04      -2.072042318649e-06 
   98       2.744115871667e+03       7.965687454752e-01       0.000000000000e+00      -2.351405246225e+01       1.095776663287e-07       4.596972172623e-04      -2.071901105203e-06 
   99       2.777537989589e+03       8.126000477556e-01       0.000000000000e+00      -2.421832776672e+01       1.089321948620e-07       4.546166934938e-04      -2.071606238544e-06 
  100       2.811178262867e+03       8.284922120907e-01       0.000000000000e+00      -2.492384078383e+01       1.082967946107e-07       4.496577178536e-04      -2.071244934333e-06 
  101       2.845030942103e+03       8.442296343552e-01       0.000000000000e+00      -2.563004482129e+01       1.076696662622e-07       4.448167666369e-04      -2.070907932102e-06 
  102       2.879088893279e+03       8.597965340614e-01       0.000000000000e+00      -2.633638429437e+01       1.070473038100e-07       4.400860597551e-04      -2.070689446992e-06 
